Артикул|Кол-во|Склад ID
Е-С226|48|1
Е-С250|1|1
Е-С258|3|1
Е-С440|34|1
Е-С463|24|1
Е-С501|8|1
Е-С640|5|1
Е-С680|8|1
Р1040|163|1
Р1050|23|1
Р1060|78|1
Р1080|320|1
Р1084|239|1
Р1106|590|1
Р1202|82|1
Р1600|164|1
Р1750|13|1
Р1751|13|1
Р1752|10|1
Р1753|11|1
Р2010|94|1
Р2300|65|1
Р3010|112|1
Р3110|95|1
Р3200|298|1
Р3530|103|1
Р4070|47|1
Р4110|15|1
Р4115|40|1
Р4210|46|1
Р4350|120|1
Р4810|52|1
Р5080|10|1
Р5516|40|1
Р5541|72|1
Р5602|1|1
Р5604|48|1
Р5606|45|1
Р5800|32|1
Р6210|30|1
Р6720|137|1
Р6780|53|1
Р7010|72|1
Р7064|96|1
Р7072|24|1
Р7130|100|1
Р7160|70|1
Р7200|96|1
Р7300|92|1
Р7302|80|1
Р7312|54|1
Р7321|48|1
Р7325|32|1
Р7326|12|1
Р7333|16|1
Р7350|65|1
Р7360|15|1
Р7453|1|1
Р7456|39|1
Р7460|15|1
Р7462|59|1
Р7463|35|1
Р7471|54|1
Р7473|21|1
Р7486|47|1
Р7494|34|1
Р7500|16|1
Р7545|4|1
Р7547|1|1
Р7556|90|1
Р7591|79|1
Р7592|75|1
Р7593|76|1
Р7594|1|1
Р7690|48|1
Р7812|8|1
Р7921|4|1
Р8272|4|1
Р8274|1|1
Р8470|1|1
Р8605|1|1
Р9020|237|1
Р9033|80|1
Р9060|72|1
Р9062|11|1
Р9063|52|1
Р9064|72|1
Р9100|62|1
РС018|52|1
РС107|20|1
РС108|110|1
РС109|103|1
РС110|25|1
РС121|38|1
РС123|44|1
РС131|50|1
РС133|38|1
РС137|9|1
РС140|61|1
РС142|80|1
РС144|73|1
РС148|33|1
РС149|23|1
РС170|93|1
РС220|97|1
РС240|36|1
РС250|12|1
РС251|26|1
РС345|50|1
РС347|36|1
РС459|30|1
РС462|19|1
РС470|68|1
РС473|60|1
РС474|96|1
РС476|1|1
РС478|72|1
РС480|216|1
РС481|216|1
РС494|2|1
РС500|2|1
РС501|72|1
РС502|108|1
РС503|72|1
РС507|118|1
РС508|108|1
РС515|55|1
РС516|46|1
РС517|59|1
РС518|51|1
РС519|36|1
РС520|39|1
РС521|49|1
РС532|74|1
РС533|30|1
РС540|35|1
РС541|65|1
РС542|43|1
РС550|81|1
РС551|81|1
РС554|24|1
РС566|105|1
РС570|9|1
РС571|10|1
РС572|22|1
РС600|24|1
РС605|60|1
РС606|71|1
РС610|106|1
РС611|17|1
РС613|95|1
РС614|71|1
РС615|52|1
РС616|12|1
РС620|60|1
РС625|42|1
РС627|48|1
РС680|45|1
РС702|181|1
РС703|8|1
РС704|80|1
РС706|101|1
РС707|85|1
РС716|59|1
РС719|2|1
РС720|34|1
РС741|9|1
РС781|6|1
РС801|15|1
РС805|69|1
РС806|65|1
РС807|14|1
РС808|58|1
РС809|50|1
РС810|68|1
РС811|74|1
РС818|30|1
РС819|31|1
РС821|12|1
РС822|12|1
РС839|1|1
РС945|1|1
РФ101|20|1
РФ103|100|1
ТР153|2|1
ТС642|83|1
ТС643|78|1
ТС652|36|1
ТС661|16|1
ТС710|108|1
ТС720|23|1
ТС730|54|1
ТС741|60|1
ТС742|60|1
ТС752|19|1
ТС831|58|1
ТС832|10|1
